"","GameSno","FieldAbbe","VisitingTeamName","HomeTeamName","VisitingScore","HomeScore","AudienceCnt","Year","Date","Weekdays","HeadUmpire","GameTime","Angels"
"1",5,"新莊","味全龍","富邦悍將",2,3,8269,2023,"2023/4/3","星期一","彭楚雲",204,"Angel
Ange
Hagels
Angels
奶昔
丹丹
Jessy
東東
沁沁
維心
Angels
Angels
gels
Angels
Angels
潔米
卡卡
秀秀子
Tiffany
慈妹
Kesha
Angel
Angel
Angels
Angels
檸檬
朱朱
蓁蓁
安娜
FUBON
ANGELS 2023.04.03 G vs. W"
"2",7,"新莊","樂天桃猿","富邦悍將",10,7,8030,2023,"2023/4/4","星期二","羅鈞鴻",233,"ANG
FUBON
2023.04.04 G VS. R
Ange
Angels
丹丹
Jessy
維心
Angel
Rigels
Angels
卡卡
奶昔
Tiffany
慈妹
Angel
Angel
Ragels
檸檬
安娜
沁沁"
"3",9,"新莊","樂天桃猿","富邦悍將",5,4,5025,2023,"2023/4/5","星期三","江春緯",216,"ANGE
FUBONI
Ange
丹丹
Jessy
東東
Angels
Angels
Angels
Angels
Kesha
秀秀子
維心
慈妹
2023.04.05 vs.
Angels
Ragels
Hagels
潔米
沁沁
蓁蓁"
"4",11,"新莊","樂天桃猿","富邦悍將",4,0,4012,2023,"2023/4/7","星期五","楊崇煇",201,"ANGE
FUBON
Angel
Angels
Ragels
奶昔
蓁蓁
東東
沁沁
2023.04.07 G VS. R
Angels
Rigels
Angels
卡卡
秀秀子
Tiffany
潔米
Angel
Angel
Angels
Angels
安娜
檸檬
Kesha
維心"
"5",16,"新莊","味全龍","富邦悍將",1,9,2826,2023,"2023/4/11","星期二","王俊宏",197,"ANGE
FUBON
Angel
Ange
Angers
2023.04.11
VS.
W
奶昔
Jessy
東東
Angels
Angels
Angels
卡卡
潔米
Kesha
安娜
Angels
Hengels
Angels
檸檬
朱朱
蓁蓁"
"6",17,"新莊","味全龍","富邦悍將",5,6,2726,2023,"2023/4/12","星期三","吳家維",227,"Angels
Ange
FUBON
ANGELS
2023.04.12
慈妹
Jessy
東東
Angels
Angels
Angels
卡卡
潔米
Kesha
秀秀子
G
Angels
VS.
Angels
gels
W
檸檬
朱朱
Tiffany"
"7",19,"新莊","樂天桃猿","富邦悍將",9,3,3234,2023,"2023/4/13","星期四","羅鈞鴻",214,"Ange
丹丹
Angels
FUBON
ANGELS
2023.04.13
G
VS. R
維心
東東
Angels
Angels
Angels
卡卡
蓁蓁
Kesha
安娜
Angel
Hengels
Rigels
檸檬
朱朱
Tiffany"
"8",24,"新莊","統一7-ELEVEn獅","富邦悍將",0,9,5282,2023,"2023/4/15","星期六","林金達",207,"Ange
Ange
Angels
Angels
丹丹
Jessy
維心
沁沁
FUBON
ANGELS
Angels
Angels
gels
Angels
蓁蓁
秀秀子
Tiffany
慈妹
2023.04.15
G
VS.
Angels
Angel
Angels
Guardian
W
安娜
奶昔
朱朱
大頭"
"9",26,"新莊","中信兄弟","富邦悍將",2,9,9028,2023,"2023/4/16","星期日","陳均瑋",173,"Ange
Ange
Angels
Angels
丹丹
Jessy
維心
朱朱
FUBON
ANGELS
Angels
Angels
Angels
Angels
潔米
秀秀子
Kesha
慈妹
2023.04.16
G
VS.
Angels
Angel
FUB
Guardians
Guardian
B
安娜
奶昔
卡洛琳
大頭"
"10",45,"新莊","統一7-ELEVEn獅","富邦悍將",1,3,4358,2023,"2023/4/28","星期五","羅鈞鴻",155,"ANGE
FUBON
Angel
Angel
Angels
Ragels
丹丹
奶昔
東東
沁沁
Angels
Angels
Angels
Angels
2023.04.28
VS. E
潔米
秀秀子
Kesha
慈妹
Angels
Angel
Mengels
Angels
安娜
檸檬
朱朱
蓁蓁"
"11",47,"新莊","統一7-ELEVEn獅","富邦悍將",2,1,6013,2023,"2023/4/29","星期六","江春緯",227,"ANGE
FUBON
Ange
Ange
Angels
Ragels
丹丹
Jessy
東東
沁沁
2023.04.29
VS. E
Angels
gels
Angels
卡卡
維心
Tiffany
慈妹
Angels
Angel
Mengels
Angels
安娜
檸檬
朱朱
蓁蓁"
"12",49,"新莊","統一7-ELEVEn獅","富邦悍將",7,0,5262,2023,"2023/4/30","星期日","吳家維",172,"Angel
Ange
Angels
Hagel's
奶昔
Jessy
秀秀子
沁沁
ANGE
FUBON
Angels
Angels
Angels
卡卡
維心
Kesha
慈妹
2023.04.30
W
VS. E
Angels
Angel
Mengels
Angels
安娜
檸檬
朱朱
蓁蓁"
"13",64,"新莊","中信兄弟","富邦悍將",7,1,4206,2023,"2023/5/9","星期二","林金達",204,"ANGE
FUBON
2023.05.09
VS.
Ange
Ange
Angels
丹丹
Jessy
安娜
Angel
gels
Angels
卡卡
奶昔
Tiffany
慈妹
Angels
Hengels
Angels
B
維心
朱朱
Kesha"
"14",66,"新莊","中信兄弟","富邦悍將",8,2,4598,2023,"2023/5/10","星期三","楊崇煇",196,"ANGE
FUBON
2023.05.10
VS.
Angel
Ange
Angels
丹丹
Jessy
安娜
Angel
gels
Angels
卡卡
奶昔
Tiffany
慈妹
Angels
Hengels
Angers
B
維心
朱朱
東東"
"15",68,"新莊","統一7-ELEVEn獅","富邦悍將",1,3,3483,2023,"2023/5/11","星期四","紀華文",171,"ANGE
FUBON
Ange
Ange
Angels
丹丹
Jessy
安娜
2023.05.11
Angels
gels
Angels
卡卡
Kesha
Tiffany
慈妹
VS. E
Angels
Hengels
Angers
維心
朱朱
東東"
"16",71,"新莊","樂天桃猿","富邦悍將",4,2,5759,2023,"2023/5/13","星期六","蘇建文",169,"ANGE
FUBON
Ange
Ange
Angels
Ragels
丹丹
Jessy
東東
沁沁
Angels
Angels
gels
Angels
2023.05.13
VS. R
潔米
秀秀子
Tiffany
慈妹
Angels
Angels
Angel
Angels
安娜
維心
奶昔
蓁蓁"
"17",73,"新莊","味全龍","富邦悍將",3,7,4207,2023,"2023/5/14","星期日","羅鈞鴻",243,"Ange
Ange
Angels
Ragels
丹丹
Jessy
東東
沁沁
ANGE
FUBON
Angels
Angels
Angels
Angels
潔米
秀秀子
朱朱
慈妹
2023.05.14
VS.
W
Angels
Angels
Angel
Angels
安娜
Kesha
奶昔
蓁蓁"
